,Date,Open_ma,Close_ma,Performance,Buy_and_hold_performance,Superiority,Volatility,Sharpe_ratio,Max_drawdown,Sortino_ratio,Calmar_ratio,Number_of_trades,Open,High,Low,Close,Volume,EMA_open,EMA_close,Target,Trade_on,Port_change,Port,Performance Cumprod,Buy_and_hold_performance Cumprod,Performance portfolio,Performance buy and hold
2024-02-17 00:00:00,2024-02-17,,,,,,,,,,,,2801.81,2804.21,2797.7,2797.7,3369.2209,2801.81,2797.7,,0.0,0.0,100.0,,,,
2024-02-17 01:00:00,2024-02-17,,,,,,,,,,,,2796.15,2797.36,2787.93,2790.81,3804.5143,2796.15,2790.81,-1.0,0.0,0.002462737248454042,100.24627372484541,,,,
2024-02-17 02:00:00,2024-02-17,,,,,,,,,,,,2786.72,2794.46,2785.66,2790.03,3772.5146,2786.72,2790.03,-1.0,1.0,-0.002279488750577698,100.0177634716023,,,,
2024-02-17 03:00:00,2024-02-17,,,,,,,,,,,,2788.79,2792.32,2785.45,2787.16,3008.6703,2788.79,2787.16,1.0,0.0,0.0010286627742355262,100.12064802164782,,,,
2024-02-17 04:00:00,2024-02-17,,,,,,,,,,,,2793.39,2794.37,2788.63,2788.63,3204.7169,2793.39,2788.63,-1.0,0.0,-0.0005274185909672407,100.06784253054151,,,,
2024-02-17 05:00:00,2024-02-17,,,,,,,,,,,,2793.32,2794.8,2778.99,2782.0,5904.6181,2793.32,2782.0,-1.0,0.0,0.002377511537923679,100.305754980733,,,,
2024-02-17 06:00:00,2024-02-17,,,,,,,,,,,,2785.15,2788.7,2783.0,2787.66,2386.436,2785.15,2787.66,-1.0,1.0,3.4507548526187606e-05,100.30921628644045,,,,
2024-02-17 07:00:00,2024-02-17,,,,,,,,,,,,2787.09,2792.71,2786.0,2792.27,1909.8705,2787.09,2792.27,1.0,1.0,-0.0003462832626646981,100.27448088374943,,,,
2024-02-17 08:00:00,2024-02-17,,,,,,,,,,,,2795.56,2795.57,2781.47,2783.03,7728.1356,2795.56,2783.03,1.0,0.0,0.003309135577863094,100.60630273599362,,,,
2024-02-17 09:00:00,2024-02-17,,,,,,,,,,,,2774.99,2780.0,2768.06,2776.41,5441.6842,2774.99,2776.41,-1.0,1.0,-0.004378702349597505,100.16577768181922,,,,
2024-02-17 10:00:00,2024-02-17,,,,,,,,,,,,2775.38,2778.51,2765.22,2768.82,6987.6402,2775.38,2768.82,1.0,0.0,0.002733746096577844,100.43960548556758,,,,
2024-02-17 11:00:00,2024-02-17,,,,,,,,,,,,2780.01,2783.36,2778.2,2780.06,3133.2555,2780.01,2780.06,-1.0,1.0,0.0020594910467274076,100.64645995380192,,,,
2024-02-17 12:00:00,2024-02-17,,,,,,,,,,,,2780.58,2782.8,2776.69,2776.95,2909.6359,2780.58,2776.95,1.0,0.0,0.00111868089177936,100.75905122537748,,,,
2024-02-17 13:00:00,2024-02-17,,,,,,,,,,,,2782.99,2783.2,2756.0,2759.78,9257.6862,2782.99,2759.78,-1.0,0.0,0.006183042546678773,101.38204872606696,,,,
2024-02-17 14:00:00,2024-02-17,,,,,,,,,,,,2743.6,2754.73,2742.22,2745.9,5895.9344,2743.6,2745.9,-1.0,1.0,-0.0070293864003652855,100.66939513151077,,,,
2024-02-17 15:00:00,2024-02-17,,,,,,,,,,,,2739.99,2748.2,2731.01,2746.4,8038.0136,2739.99,2746.4,1.0,1.0,-0.0018179103390509486,100.48638719727518,,,,
2024-02-17 16:00:00,2024-02-17,,,,,,,,,,,,2754.33,2754.34,2742.73,2749.16,4421.1478,2754.33,2749.16,1.0,0.0,-0.001004951937081184,100.385403207811,,,,
2024-02-17 17:00:00,2024-02-17,,,,,,,,,,,,2755.33,2766.0,2755.32,2759.91,8911.881,2755.33,2759.91,-1.0,1.0,0.0019102853235170017,100.5771679702542,,,,
2024-02-17 18:00:00,2024-02-17,,,,,,,,,,,,2768.48,2771.88,2765.09,2771.58,3161.8203,2768.48,2771.58,1.0,1.0,0.0022283987521332484,100.8012940058522,,,,
2024-02-17 19:00:00,2024-02-17,,,,,,,,,,,,2769.31,2776.74,2767.74,2773.67,2919.0198,2769.31,2773.67,1.0,1.0,-0.0012459174911061037,100.67570391052418,,,,
2024-02-17 20:00:00,2024-02-17,,,,,,,,,,,,2774.32,2777.14,2771.49,2776.66,2119.2667,2774.32,2776.66,1.0,1.0,-0.0009220058622692023,100.5828803213306,,,,
2024-02-17 21:00:00,2024-02-17,,,,,,,,,,,,2779.33,2794.53,2775.0,2791.01,5884.3264,2779.33,2791.01,1.0,1.0,0.0031680796352453536,100.90153489613094,,,,
2024-02-17 22:00:00,2024-02-17,,,,,,,,,,,,2786.12,2788.12,2781.21,2785.1,3834.442,2786.12,2785.1,1.0,0.0,0.0021175130150018484,101.11519520950716,,,,
2024-02-17 23:00:00,2024-02-17,,,,,,,,,,,,2785.54,2786.31,2780.53,2785.2,3205.1113,2785.54,2785.2,-1.0,0.0,-3.590535348817244e-05,101.11156463268014,,,,
2024-02-18 00:00:00,2024-02-17,,,,,,,,,,,,2785.92,2791.67,2784.09,2785.32,3134.3031,2785.92,2785.32,-1.0,0.0,-4.3084877208224045e-05,101.10720825333361,,,,
2024-02-18 00:00:00,2024-02-18,,,,,,,,,,,,2785.92,2791.67,2784.09,2785.32,3134.3031,2785.92,2785.32,,0.0,0.0,100.0,,,,
2024-02-18 01:00:00,2024-02-18,,,,,,,,,,,,2788.46,2797.4,2788.46,2793.19,6341.9857,2788.46,2793.19,-1.0,1.0,0.0008255281260321581,100.08255281260321,,,,
2024-02-18 02:00:00,2024-02-18,,,,,,,,,,,,2779.66,2781.48,2764.25,2777.21,16277.6396,2779.66,2777.21,1.0,0.0,0.005721057285755719,100.6551308305488,,,,
2024-02-18 03:00:00,2024-02-18,,,,,,,,,,,,2771.62,2776.49,2768.8,2774.8,2833.2905,2771.62,2774.8,-1.0,1.0,-0.002867777373695131,100.36647432380663,,,,
2024-02-18 04:00:00,2024-02-18,,,,,,,,,,,,2781.69,2796.46,2781.68,2795.6,5546.792,2781.69,2795.6,1.0,1.0,0.005496035750324249,100.91809205482427,,,,
2024-02-18 05:00:00,2024-02-18,,,,,,,,,,,,2796.6,2804.82,2794.71,2796.86,8835.1474,2796.6,2796.86,1.0,1.0,-0.0015492917441693311,100.76174048796642,,,,
2024-02-18 06:00:00,2024-02-18,,,,,,,,,,,,2802.88,2806.99,2790.64,2790.64,6785.8472,2802.88,2790.64,1.0,0.0,0.0022239225417075774,100.9858267939793,,,,
2024-02-18 07:00:00,2024-02-18,,,,,,,,,,,,2787.56,2804.78,2782.82,2800.58,6238.2583,2787.56,2800.58,-1.0,1.0,0.0015619069460769052,101.14355725830413,,,,
2024-02-18 08:00:00,2024-02-18,,,,,,,,,,,,2801.0,2804.51,2796.66,2802.05,4396.8731,2801.0,2802.05,1.0,1.0,-0.0014751087274777887,100.99435951426426,,,,
2024-02-18 09:00:00,2024-02-18,,,,,,,,,,,,2805.51,2822.51,2805.27,2815.01,12481.5644,2805.51,2815.01,1.0,1.0,0.0026251851323138547,101.25948840530864,,,,
2024-02-18 10:00:00,2024-02-18,,,,,,,,,,,,2819.78,2822.93,2809.7,2809.71,5423.9023,2819.78,2809.71,1.0,0.0,0.001882764182010075,101.45013614316683,,,,
2024-02-18 11:00:00,2024-02-18,,,,,,,,,,,,2810.01,2810.29,2798.01,2803.6,6702.2235,2810.01,2803.6,-1.0,0.0,0.002174601649280576,101.67074977654349,,,,
2024-02-18 12:00:00,2024-02-18,,,,,,,,,,,,2803.4,2807.99,2800.69,2804.86,4147.762,2803.4,2804.86,-1.0,1.0,-0.0015505778285061285,101.51310136613239,,,,
2024-02-18 13:00:00,2024-02-18,,,,,,,,,,,,2792.41,2797.84,2787.08,2794.82,5247.201,2792.41,2794.82,1.0,1.0,-0.005579501294182228,100.9467088856836,,,,
2024-02-18 14:00:00,2024-02-18,,,,,,,,,,,,2787.21,2801.88,2787.21,2796.28,6931.7571,2787.21,2796.28,1.0,1.0,-0.0014776049978173778,100.7975495241209,,,,
2024-02-18 15:00:00,2024-02-18,,,,,,,,,,,,2809.85,2810.0,2801.12,2803.82,4782.4309,2809.85,2803.82,1.0,0.0,-0.0026964395554093163,100.52575502449572,,,,
2024-02-18 16:00:00,2024-02-18,,,,,,,,,,,,2807.49,2807.96,2794.6,2797.2,5069.4843,2807.49,2797.2,-1.0,0.0,0.002361064547652968,100.76310282081012,,,,
2024-02-18 17:00:00,2024-02-18,,,,,,,,,,,,2805.32,2820.99,2805.0,2819.2,10513.3034,2805.32,2819.2,-1.0,1.0,0.005865007865007866,101.35407921135675,,,,
2024-02-18 18:00:00,2024-02-18,,,,,,,,,,,,2812.0,2819.94,2806.99,2814.59,7071.9932,2812.0,2814.59,1.0,1.0,-0.003635215664018045,100.98563527499552,,,,
2024-02-18 19:00:00,2024-02-18,,,,,,,,,,,,2834.44,2840.95,2822.29,2840.85,7465.7963,2834.44,2840.85,1.0,1.0,0.007329955695145567,101.72585550740736,,,,
2024-02-18 20:00:00,2024-02-18,,,,,,,,,,,,2827.86,2832.91,2817.09,2821.11,7023.2954,2827.86,2821.11,1.0,0.0,0.006948624531390176,102.43271028246276,,,,
2024-02-18 21:00:00,2024-02-18,,,,,,,,,,,,2827.51,2830.37,2823.21,2826.83,2893.9608,2827.51,2826.83,-1.0,0.0,-0.002027570707983666,102.22502071955468,,,,
2024-02-18 22:00:00,2024-02-18,,,,,,,,,,,,2847.12,2885.83,2844.26,2885.1,30921.1755,2847.12,2885.1,-1.0,1.0,0.018613195699776777,104.12775503562148,,,,
2024-02-18 23:00:00,2024-02-18,,,,,,,,,,,,2879.99,2892.03,2876.01,2879.25,18992.9296,2879.99,2879.25,1.0,0.0,0.0020276593532286263,104.33889065205018,,,,
2024-02-19 00:00:00,2024-02-18,,,,,,,,,,,,2881.2,2884.81,2873.16,2880.75,5907.112,2881.2,2880.75,-1.0,0.0,-0.0005209690023443605,104.28453332428147,,,,
2024-02-19 00:00:00,2024-02-19,,,,,,,,,,,,2881.2,2884.81,2873.16,2880.75,5907.112,2881.2,2880.75,,1.0,-0.002,99.8,,,,
2024-02-19 01:00:00,2024-02-19,,,,,,,,,,,,2871.75,2872.59,2861.7,2864.5,5684.9825,2871.75,2864.5,-1.0,0.0,0.005640892128785906,100.36296103445284,,,,
2024-02-19 02:00:00,2024-02-19,,,,,,,,,,,,2867.32,2887.0,2867.31,2886.96,9737.3812,2867.32,2886.96,-1.0,1.0,0.005840809914470252,100.94916201230846,,,,
